Name,Team,Pos,No,ID
Darcy Kuemper,LAK,G,35,8475311
Aleksander Barkov,FLA,C,16,8477493
Sam Bennett,FLA,C,9,8477935
Jesper Boqvist,FLA,C,70,8480003
Nolan Foote,FLA,L,25,8481518
Jonah Gadjovich,FLA,L,12,8479981
A.J. Greer,FLA,L,10,8478421
Vinnie Hinostroza,FLA,C,24,8476994
Luke Kunin,FLA,C,71,8479316
Anton Lundell,FLA,C,15,8482113
Eetu Luostarinen,FLA,C,27,8480185
Brad Marchand,FLA,L,63,8473419
Tomas Nosek,FLA,L,92,8477931
Cole Reinhardt,FLA,L,29,8481133
Sam Reinhart,FLA,C,13,8477933
Evan Rodrigues,FLA,C,17,8478542
Mackie Samoskevich,FLA,R,11,8482713
Cole Schwindt,FLA,C,79,8481655
Matthew Tkachuk,FLA,L,19,8479314
Carter Verhaeghe,FLA,C,23,8477409
Uvis Balinskis,FLA,D,26,8484304
Mike Benning,FLA,D,20,8482107
Tobias Bjornfot,FLA,D,22,8481600
Aaron Ekblad,FLA,D,5,8477932
Gustav Forsling,FLA,D,42,8478055
Seth Jones,FLA,D,3,8477495
Dmitry Kulikov,FLA,D,7,8475179
Niko Mikkola,FLA,D,77,8478859
Donovan Sebrango,FLA,D,6,8482131
Sergei Bobrovsky,FLA,G,72,8475683
Daniil Tarasov,FLA,G,40,8480193
Matty Beniers,SEA,C,10,8482665
Berkly Catton,SEA,C,27,8484800
Jordan Eberle,SEA,R,7,8474586
Frederick Gaudreau,SEA,C,89,8477919
Kaapo Kakko,SEA,R,84,8481554
Jared McCann,SEA,L,19,8477955
Bobby McMann,SEA,C,74,8482259
Jacob Melanson,SEA,R,63,8482874
Ben Meyers,SEA,C,59,8483570
Jani Nyman,SEA,R,38,8483497
Jaden Schwartz,SEA,L,17,8475768
Chandler Stephenson,SEA,C,9,8476905
Eeli Tolvanen,SEA,R,20,8480009
Ryan Winterton,SEA,C,26,8482751
Shane Wright,SEA,C,51,8483524
Vince Dunn,SEA,D,29,8478407
Ryker Evans,SEA,D,41,8482858
Cale Fleury,SEA,D,8,8479985
Adam Larsson,SEA,D,6,8476457
Ryan Lindgren,SEA,D,55,8479324
Joshua Mahura,SEA,D,28,8479372
Brandon Montour,SEA,D,62,8477986
Jamie Oleksiak,SEA,D,24,8476467
Joey Daccord,SEA,G,35,8478916
Philipp Grubauer,SEA,G,31,8475831
Matt Murray,SEA,G,30,8476899
Easton Cowan,TOR,R,53,8484158
Max Domi,TOR,C,11,8477503
Bo Groulx,TOR,C,29,8480870
Calle Jarnkrok,TOR,C,19,8475714
Dakota Joshua,TOR,C,81,8478057
Matthew Knies,TOR,L,23,8482720
Steven Lorentz,TOR,C,18,8478904
Matias Maccelli,TOR,L,63,8481711
Auston Matthews,TOR,C,34,8479318
William Nylander,TOR,R,88,8477939
Michael Pezzetta,TOR,L,61,8479543
Jacob Quillan,TOR,C,26,8484901
Nicholas Robertson,TOR,L,89,8481582
John Tavares,TOR,C,91,8475166
Simon Benoit,TOR,D,2,8481122
Brandon Carlo,TOR,D,25,8478443
Oliver Ekman-Larsson,TOR,D,95,8475171
Jake McCabe,TOR,D,22,8476931
Philippe Myers,TOR,D,51,8479026
Morgan Rielly,TOR,D,44,8476853
Troy Stecher,TOR,D,28,8479442
Chris Tanev,TOR,D,8,8475690
Anthony Stolarz,TOR,G,41,8476932
Joseph Woll,TOR,G,60,8479361
Macklin Celebrini,SJS,C,71,8484801
Igor Chernyshov,SJS,L,92,8484994
Ty Dellandrea,SJS,C,10,8480848
William Eklund,SJS,L,72,8482667
Adam Gaudette,SJS,R,81,8478874
