Name,Team,Pos,No
Elias Salomonsson,WPG,D,57
Dylan Samberg,WPG,D,54
Eric Comrie,WPG,G,1
Connor Hellebuyck,WPG,G,37
Jonatan Berggren,STL,R,29
Pavel Buchnevich,STL,L,89
Jonathan Drouin,STL,L,92
Dalibor Dvorsky,STL,R,54
Jack Finley,STL,C,37
Dylan Holloway,STL,L,81
Jordan Kyrou,STL,R,25
Jake Neighbours,STL,L,63
Jimmy Snuggerud,STL,R,21
Otto Stenberg,STL,C,28
Oskar Sundqvist,STL,C,70
Pius Suter,STL,C,22
Robert Thomas,STL,C,18
Alexey Toropchenko,STL,R,13
Nathan Walker,STL,L,26
Philip Broberg,STL,D,6
Cam Fowler,STL,D,17
Justin Holl,STL,D,4
Matthew Kessel,STL,D,51
Theo Lindstein,STL,D,41
Logan Mailloux,STL,D,23
Colton Parayko,STL,D,55
Tyler Tucker,STL,D,75
Jordan Binnington,STL,G,50
Joel Hofer,STL,G,30
Jonny Brodzinski,NYR,C,22
Jaroslav Chmelar,NYR,R,49
Will Cuylle,NYR,L,50
Adam Edstrom,NYR,C,84
Tye Kartye,NYR,L,24
Noah Laba,NYR,C,42
Alexis Lafrenière,NYR,L,13
J.T. Miller,NYR,C,8
Juuso Parssinen,NYR,C,71
Gabe Perreault,NYR,R,94
Taylor Raddysh,NYR,R,14
Matt Rempe,NYR,C,73
Conor Sheary,NYR,L,43
Vincent Trocheck,NYR,C,16
Mika Zibanejad,NYR,C,93
Will Borgen,NYR,D,17
Adam Fox,NYR,D,23
Vladislav Gavrikov,NYR,D,44
Vincent Iorio,NYR,D,6
Connor Mackey,NYR,D,12
Matthew Robertson,NYR,D,29
Braden Schneider,NYR,D,4
Urho Vaakanainen,NYR,D,18
Dylan Garand,NYR,G,33
Jonathan Quick,NYR,G,32
Igor Shesterkin,NYR,G,31
Connor Bedard,CHI,C,98
Tyler Bertuzzi,CHI,L,59
Sacha Boisvert,CHI,C,12
Andre Burakovsky,CHI,L,28
Ryan Donato,CHI,C,8
Ryan Greene,CHI,C,20
Sam Lafferty,CHI,C,24
Nick Lardis,CHI,L,76
Andrew Mangiapane,CHI,L,26
Ilya Mikheyev,CHI,R,95
Oliver Moore,CHI,C,11
Frank Nazar,CHI,C,91
Landon Slaggert,CHI,L,84
